Address,photo_review_status,ai_yard_playability,ai_yard_type,ai_flatness,ai_fenced,ai_privacy,ai_yard_noise_clues,ai_layout_notes,ai_confidence,ai_photo_notes,ai_yard_score,ai_layout_score,ai_privacy_score,ai_fence_score,ai_slope_score,ai_noise_clue_score,ai_photo_url_count
"1030 MATHERS AVENUE, West Vancouver, British Columbia V7T2G2",AI reviewed,Maybe,Garden / Landscaped,Flat,False,Private,Quiet,Open living/dining/kitchen layout with direct access to back deck seen through large sliding doors.,80,"The yard is well-landscaped with paved walkways, some areas of open soil and plants. No visible fenced play area for toddlers and limited flat grassy space for play. The yard appears private and quiet with dense greenery and brick wall fencing around the garden area. The upstairs windows suggest family bedrooms. The indoor photos show a family-friendly layout but no visible play area inside. No signs of busy roads or noise.",55,75,85,20,90,90,12
"510 ST. ANDREWS ROAD, West Vancouver, British Columbia V7S1V2",AI reviewed,Maybe,Mixed (deck and fenced yard),60,50,80,90,"Multiple decks with railing and some outdoor space visible, kitchen and living areas open and family-friendly, but outdoor space partially sloped and limited open grass area",75,The outdoor space includes a large fenced deck and some potentially usable yard below but is not fully flat. Fencing is partial (deck railings and some yard boundaries visible). The yard is private with dense trees surrounding the property. Noise seems low as no major roads are visible nearby except a quiet street. The family-friendly layout is inferred from kitchen and living area openness to deck. Some uncertainty due to the sloped nature of the yard and limited large flat grass.,65,80,80,50,60,90,12
"1285 LUCKING PLACE, North Vancouver, British Columbia V7J3L5",AI reviewed,Maybe,Grass with landscaping hedges and bushes,Moderately flat,Partial fence visible (hedges and some metal gate),High privacy due to dense tall hedges and trees,"Low noise clues visible, no roads or highways evident from yard",Layout shows split-level house with visible front yard; interior photos show open living/dining spaces suitable for family but no clear view to backyard,85,"Yard is somewhat flat and grassy with partial enclosure by hedges and some fencing. Privacy seems good due to tall hedges and trees. No noise from roads is visible. Interior layout looks family-friendly but backyard visibility is limited, so toddler playability is rated cautious.",65,70,90,60,75,85,12
"759 MORGAN ROAD, North Vancouver, British Columbia V7J1P3",AI reviewed,Maybe,Grass lawn with raised garden beds,Flat,False,Moderate,Quiet,Family-friendly layout with open dining and living room areas; visible dining space seats multiple children; kitchen with island and bar stool seating,75,"Yard is small with usable flat grass but lacks visible fencing which reduces toddler safety. Privacy is moderate due to hedge trees on sides but no full yard privacy. Noise clues indicate a quiet residential area with no visible roads. Interior layout shows good open family areas. Photos do not show full yard or backyard, so some uncertainty on yard size and fence.",65,80,60,20,90,90,12
"520 BALLANTREE PLACE, West Vancouver, British Columbia V7S1W5",AI reviewed,Maybe,Mixed grassy and paved areas,60,50,70,80,"Interior has open and visible family-friendly layout with connected kitchen, dining, and living areas.",70,"Yard appears partly flat with some level changes, some natural privacy from mature trees and shrubs. Fencing or containment is unclear. The paved front doesn't offer play space, back yard greenery might but not fully visible. Noise clues minimal with some foliage buffering.",60,80,70,50,60,80,12
"4621 CAULFEILD DRIVE, West Vancouver, British Columbia V7W1E9",AI reviewed,Poor,Forest-like natural yard with a steep concrete driveway,Steep driveway and tiered landscaping visible,False,True,No visible roads or highways; quiet environment,Interior shows family-friendly multi-level layout with open living and dining areas,80,Yard is heavily sloped with no visible fenced play area; natural surroundings provide privacy but limit flat play space. Interior layout appears suitable for families with open kitchen/dining. Noise impact seems low due to wooded location and lack of visible road noise.,30,80,90,10,25,90,12
"606 HAWSTEAD PLACE, West Vancouver, British Columbia V7S1T9",AI reviewed,Maybe,Lawn yard,Relatively flat with slight slope near house,"Yes, partially fenced",Moderate privacy with surrounding trees and fences,"Quiet surroundings, no visible highways or roads","Single level home with large windows facing yard, visible covered porch and walkway; outdoor balcony/deck with glass railing overlooks wooded area and city views",70,Yard is mostly grassy and flat with some minor slopes near the home. Fencing is partial but sufficient for toddler containment. Privacy is good due to mature trees and hedges. No visible noise sources observed. Interior layout suggests family-friendly living spaces with good yard access. Balcony provides additional outdoor space. Some uncertainty due to partial view of entire yard and fence.,75,80,70,70,80,85,12
"4918 EDENDALE LANE, West Vancouver, British Columbia V7W3H7",AI reviewed,Poor,Driveway/front yard,Flat,False,Private-ish due to hedges,Quiet,Family-friendly interior layout visible with open living/dining/kitchen and access to balcony/yard,Medium confidence based on limited yard view,"Yard space appears limited and is primarily driveway with some landscaping and rocks. The hedges provide privacy but no visible fencing. The home interior is spacious and family-friendly, though no backyard play area shown.",20,80,75,10,90,90,12
"1095 E 29TH STREET, North Vancouver, British Columbia V7K1C1",AI reviewed,Maybe,Mixed grass and soil,Moderate,False,Moderate,Quiet,Living room and kitchen layout visible with family-friendly areas; separate spaces for toddler play noted,70,The yard appears to have moderate flatness and mixed grass/soil surfaces that may be playable but are not fully clear or fenced. Privacy is moderate due to surrounding bushes and trees. No road or highway noise concerns are visible. Indoor layout supports family use with visible toys and toddler seating.,60,80,60,20,60,90,12
"1006 SINCLAIR STREET, West Vancouver, British Columbia V7V3V9",AI reviewed,Maybe,Grass lawn with deck,Mostly flat,Partially fenced,Good privacy with tall hedges and trees,No visible road or highway noise sources,Open family-friendly layout visible through large glass doors with a clear deck and lawn area,80,"Yard is mostly flat and has a clear grass area suitable for toddlers but fenced area visible only partially around the deck, not enclosing full lawn. Privacy is good due to mature hedges and landscaping. Noise appears minimal based on no visible road siding. Photos do not show full yard fencing so fence score adjusted accordingly.",75,85,85,60,85,90,12
"3904 WESTRIDGE AVENUE, West Vancouver, British Columbia V7V3H5",AI reviewed,Maybe,Driveway and narrow garden area,"Moderate slope driveway, flat compact garden area",No visible fencing,"Yes, surrounded by dense trees and greenery","Low visible road noise, driveway access with vehicle","Driveway well connected to house entry, garden area small and narrow; interior shows family-friendly spaces",70,The yard appears primarily as a driveway with a small garden area mostly covered with gravel and some plantings. No fenced play area or open lawn visible. Privacy is good due to tree coverage. The driveway has a slope but garden area looks flat. Yard playability limited by mainly paved sloped driveway and small garden. Low visible road noise. Interior rich in stairs and open room spaces suitable for family.,40,70,80,10,50,80,12
"5566 GALLAGHER PLACE, West Vancouver, British Columbia V7W1N9",AI reviewed,Unknown,Unknown,50,50,50,50,"Open family-friendly layout visible with kitchen island, dining and living area open concept. Clear sight lines and ample space for family activities indoors.",70,"No outdoor photos present, so yard-related categories have low confidence and are estimated as unknown with neutral scores. Interior layout scores are higher due to clear open design seen in multiple photos.",50,85,50,50,50,50,12
"4623 CAULFEILD DRIVE, West Vancouver, British Columbia V7W1E9",AI reviewed,Maybe,Unknown,50,50,80,90,"The home shows a family-friendly layout with a large main living area and multiple bedrooms, but no clear view of designated play areas or yard layout.",65,There is significant greenery and tree coverage providing privacy. The yard's flatness and fenced status are uncertain due to limited outdoor ground views. Noise disturbance seems low with no visible road close by. The interior layouts with multiple rooms and open living space are family conducive though. Overall outdoor play space is unclear.,60,75,80,50,50,90,12
